,titulo,ubicacion,precio,Superficie,Habitaciones,Baños,Planta,Conservacion,Gastos de Comunidad,Amueblado,Balcon,Ascensor,Calefaccion,Garaje,Terraza,Trastero
204,"Apartamento en venta en Avenida de Luis Rocafort, 2",Sanxenxo,405000,86,2.0,2.0,Planta: 1ª,En buen estado,0,0,0,0,No tiene,0,0,0
205,Piso en venta en Avenida de Pontevedra,A Estrada,135000,105,4.0,2.0,,En buen estado,0,0,0,0,No tiene,0,0,0
206,Apartamento en venta en Praza España-Zona Corte Inglés,Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),530000,226,4.0,3.0,,En buen estado,0,0,0,1,No tiene,0,0,0
207,Piso en venta en Calle de Fernando II,Fernández Ladreda-Ciudad de Piedra (Pontevedra Capital),205000,90,2.0,2.0,Planta: 5ª,En buen estado,Entre 40 y 60€,1,0,1,Gas natural,1,1,0
208,Piso en venta en Calle de la Redondela,Cangas,200000,140,3.0,2.0,Planta: 1ª,En buen estado,0,0,0,1,Eléctrica por acumul,1,0,0
209,"Apartamento en venta en Avenida de Lugo, 5, cerca de Calle de Faustino Santalices",A Seca-Os Salgueriños (Pontevedra Capital),180000,89,2.0,2.0,Planta: 1ª,En buen estado,0,1,0,1,Central,0,1,1
210,Piso en venta en Grupo San Paio,A Estrada,162000,95,3.0,2.0,Planta: 3ª,En buen estado,0,1,0,1,Gas natural,1,0,0
211,Piso en venta en Calle Piso en Av. Benito Vigo A Estrada,A Estrada,73000,130,4.0,2.0,Planta: 2ª,En buen estado,0,0,1,1,Gas natural,0,1,1
212,Piso en venta en Calle del Alcalde Vázquez Varela,Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),300000,146,5.0,3.0,Planta: 6ª,A reformar,0,0,0,1,Gas natural,0,1,0
213,Piso en venta en Calle Ep-9211,Noalla (Santo Estevo). Municipio de Sanxenxo,195000,80,2.0,2.0,Planta: Bajo,A estrenar,0,1,0,1,Eléctrica,1,1,0
214,Piso en venta en Avenida de Castelao,Ponteareas,124000,105,3.0,2.0,,En buen estado,0,1,0,1,Gas natural,1,1,0
215,Piso en venta en Silleda,Silleda (Casco Urbano),115000,98,3.0,2.0,,A estrenar,0,0,0,0,No tiene,0,0,0
216,Piso en venta en Calle de José Adrio Barreiro,A Seca-Os Salgueriños (Pontevedra Capital),190000,115,3.0,2.0,Planta: 6ª,En buen estado,0,1,0,1,Central,1,0,0
