,titulo,ubicacion,precio,Superficie,Habitaciones,Baños,Planta,Conservacion,Gastos de Comunidad,Amueblado,Balcon,Ascensor,Calefaccion,Garaje,Terraza,Trastero
490,Piso en venta en Poio (San Juan-Albar),Poio (San Juan-Albar),150000,65.0,2.0,2.0,,En buen estado,0,1,0,1,No tiene,0,1,1
491,Piso en venta en Vilagarcía de Arousa,Vilagarcía de Arousa,99900,100.0,3.0,1.0,,En buen estado,0,1,0,0,No tiene,0,1,1
492,"Piso en venta en Calle Estrada Circunvalación, 53, Esc",Adina (Santa María). Municipio de Sanxenxo,320000,142.0,3.0,2.0,,En buen estado,0,1,0,1,Individual,0,0,1
493,"Piso en venta en Rúa de Lugo, 2",Salceda de Caselas,106320,85.0,2.0,2.0,Planta: 2ª,En buen estado,0,1,0,1,Gas natural,1,1,0
494,"Piso en venta en Calle del Pintor Colmeiro, 23",O Castro (Distrito Casco Urbano. Vigo),296000,91.0,3.0,2.0,Planta: 4ª,En buen estado,0,1,0,1,Gas individual,1,0,0
495,Piso en venta en Calle de Gonzalo Torrente Ballester,Fátima-Travesía de Vigo-San Xoán (Distrito Casco Urbano. Vigo),198000,96.0,4.0,2.0,Planta: 1ª,En buen estado,80.00 euros.,1,0,1,Gasóleo colectivo,1,0,0
496,Piso en venta en Rúa Fontoura,Salvaterra de Miño,125000,102.0,3.0,2.0,Planta: 1ª,A estrenar,0,1,0,1,Central,1,0,0
497,"Piso en venta en Avenida das Camelias, cerca de Calle de Juan Ramón Jiménez",Camelias-Pi y Margall (Distrito Casco Urbano. Vigo),280000,120.0,4.0,2.0,,En buen estado,Entre 40 y 60€,0,0,1,No tiene,1,1,0
498,Piso en venta en Campolongo,Fernández Ladreda-Ciudad de Piedra (Pontevedra Capital),160000,115.0,4.0,2.0,Planta: 1ª,En buen estado,Más de 100€,1,1,0,Central,0,1,0
499,Piso en venta en Fernández Ladreda-Ciudad de Piedra,Fernández Ladreda-Ciudad de Piedra (Pontevedra Capital),156000,115.0,3.0,2.0,Planta: 11ª,En buen estado,0,1,0,1,No tiene,0,1,1
500,Piso en venta en Calle del Alcalde Vázquez Varela,Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),679000,149.0,4.0,2.0,Planta: 6ª,En buen estado,0,1,0,1,Gas individual,1,1,1
501,Piso en venta en Carretera de la Lanzada,Sanxenxo,110000,62.0,1.0,1.0,,En buen estado,0,1,0,1,Individual,0,0,1
